scientificName,commonName,taxon,leadOffice,status
Rudbeckia heliopsidis,Sun-facing Coneflower,Vascular Plant,Daphne,Petitioned
Salix floridana,Florida Willow,Vascular Plant,Jacksonville,Petitioned
Sarracenia purpurea var. montana,No Common Name,Vascular Plant,Asheville,Petitioned
Sarracenia rubra ssp. gulfensis,Gulf Sweet pitcherplant,Vascular Plant,Panama City,Petitioned
Sarracenia rubra ssp. wherryi,Wherry's Sweet Pitcherplant,Vascular Plant,Jackson,Petitioned
Schoenoplectus hallii,Hall's bulrush,Vascular Plant,Region 3,Petitioned
Rhexia salicifolia,Panhandle meadowbeauty,Vascular Plant,Panama City,Petitioned
Sideroxylon thornei,Georgia Bully,Vascular Plant,Athens,Petitioned
Rhexia parviflora,White meadowbeauty,Vascular Plant,Panama City,Petitioned
Sporobolus teretifolius,Wireleaf dropseed,Vascular Plant,Raleigh,Petitioned
Arenaria fontinalis,Water Stitchwort,Vascular Plant,Cookeville,Petitioned
Aster puniceus var. scabricaulis,Rough-Stemmed aster,Vascular Plant,Region 2,Petitioned
Thalictrum debile,Southern Meadow-rue,Vascular Plant,Jackson,Petitioned
Trillium pusillum texanum,Texas Trillium,Vascular Plant,Lafayette,Petitioned
Tsuga caroliniana,Carolina Hemlock,Vascular Plant,Asheville,Petitioned
Vicia ocalensis,Ocala Vetch,Vascular Plant,Jacksonville,Petitioned
Waldsteinia lobata,Piedmont barren strawberry,Vascular Plant,Athens,Petitioned
Xyris longisepala,Karst Pond xyris,Vascular Plant,Panama City,Petitioned
Procambarus lucifugus,Florida Cave crayfish,Crayfish,Jacksonville,Petitioned
Scutellaria ocmulgee,[Unnamed] skullcap,Vascular Plant,Athens,Petitioned
Marshallia grandiflora,Large-flowered Barbara's buttons,Vascular Plant,Region 5,Petitioned
Isoetes microvela,Thin-wall Quillwort,Vascular Plant,Raleigh,Petitioned
Lilium iridollae,Panhandle Lily,Vascular Plant,Panama City,Petitioned
Lindera subcoriacea,Bog Spicebush,Vascular Plant,Jackson,Petitioned
Linum westii,West's Flax,Vascular Plant,Panama City,Petitioned
Lobelia boykinii,Boykin's Lobelia,Vascular Plant,Athens,Petitioned
Ludwigia brevipes,Long Beach Seedbox,Vascular Plant,Raleigh,Petitioned
Ludwigia spathulata,Spathulate Seedbox,Vascular Plant,Athens,Petitioned
Ludwigia ravenii,Raven's Seedbox,Vascular Plant,Raleigh,Petitioned
Lythrum curtissii,Curtiss' Loosestrife,Vascular Plant,Jacksonville,Petitioned
Rhynchospora thornei,Thorne's beaked-rush,Vascular Plant,Jacksonville,Petitioned
Macbridea caroliniana,Carolina Birds-in-a-nest,Vascular Plant,Charleston,Petitioned
Arnoglossum diversifolium,Variableleaf Indian plantain,Vascular Plant,Panama City,Petitioned
Minuartia godfreyi,Godfry's Stitchwort,Vascular Plant,Region 4,Petitioned
Najas filifolia,Narrowleaf Naiad,Vascular Plant,Jacksonville,Petitioned
Nuphar lutea ssp. sagittifolia,Yellow pond-lily,Vascular Plant,Raleigh,Petitioned
Nuphar lutea ssp. ulvacea,West Florida Cow-lily,Vascular Plant,Panama City,Petitioned
Nyssa ursina,Bear gum,Vascular Plant,Panama City,Petitioned
Oncidium undulatum,Cape Sable orchid,Vascular Plant,South Florida,Petitioned
Physostegia correllii,Correll's false dragon-head,Vascular Plant,Lafayette,Petitioned
Potamogeton floridanus,Florida Pondweed,Vascular Plant,Panama City,Petitioned
Potamogeton tennesseensis,Tennessee Pondweed,Vascular Plant,Region 5,Petitioned
Ptilimnium ahlesii,Carolina Bishopweed,Vascular Plant,Charleston,Petitioned
Lythrum flagellare,Lowland Loosestrife,Vascular Plant,South Florida,Petitioned
Clonophis kirtlandii,Kirtland's snake,Reptile,Region 5,Petitioned
Toxolasma pullus,Savannah lilliput,Mussel,Athens,Petitioned
Villosa nebulosa,Alabama rainbow,Mussel,Daphne,Petitioned
Villosa ortmanni,Kentucky creekshell,Mussel,Frankfort,Petitioned
Villosa vanuxemensis umbrans,Coosa creekshell,Mussel,Daphne,Petitioned
Leptoxis virgata,Smooth rocksnail,Snail,Region 5,Petitioned
Fissidens hallii,Hall's Pocket moss,Non-Vascular Plant,Asheville,Petitioned
Megaceros aenigmaticus,Hornwort,Non-Vascular Plant,Asheville,Petitioned
Phaeophyscia leana,Lea's Bog lichen,Non-Vascular Plant,Frankfort,Petitioned
Pseudemys rubriventris,Northern Red-bellied cooter,Reptile,Region 4,Petitioned
Plagiochila sharpii ssp. sharpii,Sharp's Leafy liverwort,Non-Vascular Plant,Asheville,Petitioned
Quadrula asperata archeri,Tallapoosa orb,Mussel,Daphne,Petitioned
Deirochelys reticularia miaria,Western Chicken turtle,Reptile,Region 2,Petitioned
Eumeces egregius egregius,Florida Keys Mole skink,Reptile,South Florida,Petitioned
Graptemys barbouri,Barbour's Map turtle,Reptile,Panama City,Petitioned
Graptemys ernsti,Escambia Map turtle,Reptile,Daphne,Petitioned
Graptemys gibbonsi,Pascagoula Map turtle,Reptile,Jackson,Petitioned
Graptemys nigrinoda,Black-knobbed Map turtle,Reptile,Jackson,Petitioned
Graptemys pulchra,Alabama Map turtle,Reptile,Daphne,Petitioned
Pseudemys nelsoni pop. 1,Florida Red-bellied Turtle - FL Panhandle,Reptile,Panama City,Petitioned
Plagiochila caduciloba,Gorge Leafy liverwort,Non-Vascular Plant,Asheville,Petitioned
Medionidus walkeri,Suwannee moccasinshell,Mussel,Panama City,Petitioned
Elliptio fraterna,Brother spike,Mussel,Panama City,Petitioned
Elliptio lanceolata,Yellow lance,Mussel,Raleigh,Petitioned
Elliptio monroensis,St. John's elephantear,Mussel,Jacksonville,Petitioned
Elliptio purpurella,Inflated spike,Mussel,Panama City,Petitioned
Ambystoma barbouri,Streamside salamander,Amphibian,Frankfort,Petitioned
Fusconaia masoni,Atlantic pigtoe,Mussel,Raleigh,Petitioned
Lampsilis fullerkati,Waccamaw fatmucket,Mussel,Raleigh,Petitioned
Lasmigona holstonia,Tennessee heelsplitter,Mussel,Asheville,Petitioned
Toxolasma lividus,Purple lilliput,Mussel,Asheville,Petitioned
Medionidus conradicus,Cumberland moccasinshell,Mussel,Asheville,Petitioned
Simpsonaias ambigua,Salamander mussel,Mussel,Region 5,Petitioned
Obovaria subrotunda,Round hickorynut,Mussel,Asheville,Petitioned
Obovaria unicolor,Alabama hickorynut,Mussel,Daphne,Petitioned
Pleurobema athearni,Canoe Creek pigtoe,Mussel,Daphne,Petitioned
Pleurobema oviforme,Tennessee clubshell,Mussel,Asheville,Petitioned
Pleurobema rubellum,Warrior pigtoe,Mussel,Daphne,Petitioned
Pleurobema rubrum,Pink pigtoe,Mussel,Asheville,Petitioned
Pleuronaia barnesiana,Tennessee pigtoe,Mussel,Asheville,Petitioned
Pyganodon gibbosa,Inflated floater,Mussel,Athens,Petitioned
Fissidens appalachensis,Appalachian Fissidens moss,Non-Vascular Plant,Asheville,Petitioned
Lasmigona subviridis,Green floater,Mussel,Region 5,Petitioned
Elimia olivula,Caper elimia,Snail,Daphne,Petitioned
Elimia acuta,Acute elimia,Snail,Cookeville,Petitioned
Elimia alabamensis,Mud elimia,Snail,Daphne,Petitioned
Elimia ampla,Ample elimia,Snail,Daphne,Petitioned
Elimia annettae,Lily Shoals elimia,Snail,Daphne,Petitioned
Elimia arachnoidea,Spider elimia,Snail,Region 5,Petitioned
Elimia bellacrenata,Princess elimia,Snail,Daphne,Petitioned
Elimia bellula,Walnut elimia,Snail,Daphne,Petitioned
Elimia chiltonensis,Prune elimia,Snail,Daphne,Petitioned
Elimia cochliaris,Cockle elimia,Snail,Daphne,Petitioned
Aphaostracon theiocrenetum,Clifton Spring hydrobe,Snail,Jacksonville,Petitioned
Elimia lachryma,Nodulose Coosa River snail,Snail,Daphne,Petitioned
Elimia nassula,Round-Rib elimia,Snail,Daphne,Petitioned
Elimia showalteri,Compact elimia,Snail,Daphne,Petitioned
Elimia teres,Elegant elimia,Snail,Cookeville,Petitioned
Elimia vanuxemiana,Cobble elimia,Snail,Daphne,Petitioned
Floridobia mica,Ichetucknee siltsnail,Snail,Jacksonville,Petitioned
Floridobia monroensis,Enterprise siltsnail,Snail,Jacksonville,Petitioned
Floridobia parva,Pygmy siltsnail,Snail,Jacksonville,Petitioned
Floridobia ponderosa,Ponderous siltsnail,Snail,Jacksonville,Petitioned
Floridobia wekiwae,Wekiwa siltsnail,Snail,Jacksonville,Petitioned
Leptoxis arkansensis,Arkansas mudalia,Snail,Arkansas,Petitioned
Leptoxis picta,Spotted rocksnail,Snail,Daphne,Petitioned
Elimia cylindracea,Cylinder elimia,Snail,Daphne,Petitioned
Aphaostracon monas,Wekiwa hydrobe,Snail,Jacksonville,Petitioned
Thamnophis sauritus pop. 1,Eastern Ribbonsnake - Lower FL Keys,Reptile,South Florida,Petitioned
Aphaostracon asthenes,Blue Spring hydrobe,Snail,Jacksonville,Petitioned
Antrorbis breweri,[Unnamed] snail,Snail,Daphne,Petitioned
Aphaostracon chalarogyrus,Freemouth hydrobe,Snail,Jacksonville,Petitioned
Aphaostracon pycnus,Dense hydrobe,Snail,Jacksonville,Petitioned
Elimia perstriata,Engraved elimia,Snail,Daphne,Petitioned
Dichanthelium hirstii,Hirst Brothers' Panic grass,Vascular Plant,Region 5,Candidate
Etheostoma cragini,Arkansas Darter,Fish,Region 6,Candidate
Chamaecrista lineata var. keyensis,Big Pine partridge pea,Vascular Plant,South Florida,Candidate
Atlantea tulita,Puerto Rico harlequin Butterfly,Butterfly,Caribbean,Candidate
Solanum conocarpum,Marron bacora,Vascular Plant,Region 4,Candidate
Argythamnia blodgettii,Blodgett's silverbush,Vascular Plant,South Florida,Candidate
Percina aurora,Pearl darter,Fish,Jackson,Candidate
Moxostoma sp.,Sicklefin redhorse,Fish,Asheville,Candidate
Elimia melanoides,Black mudalia,Snail,Daphne,Candidate
Gyrinophilus gulolineatus,Berry Cave Salamander,Amphibian,Region 4,Candidate
Pseudanophthalmus caecus,Clifton Cave beetle,Beetle,Frankfort,Candidate
Sideroxylon reclinatum ssp. Austrofloridense,Everglades bully,Vascular Plant,South Florida,Candidate
Glyphopsyche sequatchie,Sequatchie caddisfly,Caddisfly,Cookeville,Candidate
Dalea carthagenensis var. floridana,Florida prairie-clover,Vascular Plant,South Florida,Candidate
Dendroica angelae,Elfin-woods warbler,Bird,Caribbean,Candidate
Digitaria pauciflora,Florida pineland crabgrass,Vascular Plant,South Florida,Candidate
Cicindela highlandensis,Highlands Tiger beetle,Beetle,South Florida,Candidate
Linum arenicola,Sand flax,Vascular Plant,South Florida,Candidate
Gopherus polyphemus,Gopher tortoise,Reptile,Jackson,Candidate
Platanthera integrilabia,White Fringeless orchid,Vascular Plant,Cookeville,Candidate
Chamaesyce deltoidea ssp. serpyllum,Wedge Spurge,Vascular Plant,South Florida,Candidate
Pseudanophthalmus troglodytes,Louisville Cave beetle,Beetle,Frankfort,Candidate
Etheostoma sagitta,Cumberland arrow darter,Fish,Region 4,Candidate
Planorbella magnifica,Magnificent ramshorn,Snail,Raleigh,Candidate
Pseudanophthalmus tiresias,Indian Grave Point cave beetle,Beetle,Cookeville,Candidate
Pseudanophthalmus paulus,Noblett's cave beetle,Beetle,Cookeville,Candidate
Pituophis ruthveni,Louisiana Pine snake,Reptile,Lafayette,Candidate
Anthus spragueii,Sprague's Pipit,Bird,Region 6,Candidate
Pseudanophthalmus insularis,Baker Station cave beetle,Beetle,Cookeville,Candidate
Chamaesyce deltoidea ssp. pinetorum,Pineland sandmat,Vascular Plant,South Florida,Candidate
Necturus alabamensis,Black Warrior waterdog,Amphibian,Jackson,Candidate
Etheostoma sagitta ssp. spilotum,Kentucky arrow darter,Fish,Frankfort,Candidate
Notophthalmus perstriatus,Striped newt,Amphibian,Jacksonville,Candidate
Pseudanophthalmus inquisitor,Inquirer Cave beetle,Beetle,Cookeville,Candidate
Pseudanophthalmus frigidus,Icebox Cave beetle,Beetle,Frankfort,Candidate
Pseudanophthalmus fowlerae,Fowler's cave beetle,Beetle,Cookeville,Candidate
Pseudanophthalmus colemanensis,Coleman Cave beetle,Beetle,Cookeville,Candidate
Pseudanophthalmus parvus,Tatum Cave beetle,Beetle,Frankfort,Candidate
Tantilla oolitica,Rimrock Crowned snake,Reptile,South Florida,Petitioned
Fundulus jenkinsi,Saltmarsh topminnow,Fish,Panama City,Petitioned
Potamilus amphichaenus,Texas heelsplitter,Mussel,Region 4,Petitioned
Anguilla rostrata,American eel,Fish,Region 5,Petitioned
Lampropeltis getula meansi,Apalachicola Common kingsnake,Reptile,Panama City,Petitioned
Spilogale putorius interrupta,Plains Spotted Skunk,Mammal,Region 3,Petitioned
Myotis septentrionalis,Northern Long-Eared bat,Mammal,Region 3,Petitioned
Vermivora chrysoptera,Golden-winged Warbler,Bird,Region 4,Petitioned
Spondylurus monae,Mona Skink,Reptile,Caribbean,Petitioned
Bombus affinis,Rusty Patched Bumble Bee,Bee,Region 5,Petitioned
Osmia calaminthae,Blue Calamintha Bee,Bee,South Florida,Petitioned
Capitellum parvicruzae,Lesser Saint Croix Skink,Reptile,Caribbean,Petitioned
Spondylurus spilonotus,Greater Virgin Islands Skink,Reptile,Caribbean,Petitioned
Spondylurus sloanii,Virgin Islands Bronze Skink,Reptile,Caribbean,Petitioned
Spondylurus semitaeniatus,Lesser Virgin Islands Skink,Reptile,Caribbean,Petitioned
Papaipema eryngii,Rattlesnake-Master Borer moth,Moth,Region 3,Petitioned
Spondylurus monitae,Monito Skink,Reptile,Caribbean,Petitioned
Pterodroma hasitata,Black-capped petrel,Bird,Caribbean,Petitioned
Spondylurus magnacruzae,Greater Saint Croix Skink,Reptile,Caribbean,Petitioned
Spondylurus culebrae,Culebra Skink,Reptile,Caribbean,Petitioned
Crotalus adamanteus,Eastern Diamondback rattlesnake,Reptile,Region 4,Petitioned
Clappia cahabensis,Cahaba pebblesnail,Snail,Daphne,Petitioned
Urocyon cinereoargenteus ssp. Ocythous,Prairie Gray fox,Mammal,Region 3,Petitioned
Procambarus latipleurum ssp. Leconticambarus,Wingtail crayfish,Crayfish,Panama City,Petitioned
Spondylurus nitidus,Puerto Rican Skink,Reptile,Caribbean,Petitioned
Pituophis melanoleucus lodingi,Black Pine snake,Reptile,Jackson,Proposed for Listing
Trichomanes punctatum ssp.floridanum,Florida Bristle fern,Vascular Plant,South Florida,Proposed for Listing
Calidris canutus ssp. rufa,Red Knot,Bird,New Jersey,Listed
Elassoma alabamae,Spring Pygmy sunfish,Fish,Jackson,Listed
Pleuroblema strodeanum,Fuzzy pigtoe,Mussel,Panama City,Listed
Linum carteri var. carteri,Carter’s Small-Flowered flax,Vascular Plant,South Florida,Listed
Brickellia mosieri,Florida brickell-bush,Vascular Plant,South Florida,Listed
Physaria globosa,Short’s Bladderpod,Vascular Plant,Cookeville,Listed
Leavenworthia exigua var. laciniata,Kentucky gladecress,Vascular Plant,Frankfort,Listed
Arabis georgiana,Georgia rockcress,Vascular Plant,Athens,Listed
Fusconaia rotulata,Round ebonyshell,Mussel,Panama City,Listed
Leavenworthia crassa,[Unnamed] gladecress,Vascular Plant,Daphne,Listed
Cyclargus thomasi bethunebakeri,Miami blue butterfly,Butterfly,South Florida,Listed
Anaea troglodyta floridalis,Florida Leafwing butterfly,Butterfly,South Florida,Listed
Villosa choctawensis,Choctaw bean,Mussel,Panama City,Listed
Quadrula cylindrica ssp. cylindrica,rabbitsfoot,Mussel,Arkansas,Listed
Agave eggersiana,no common name,Vascular Plant,Caribbean,Listed
Ptychobranchus subtentum,Fluted kidneyshell,Mussel,Cookeville,Listed
Chromolaena frustrata,Cape Sable thoroughwort,Vascular Plant,South Florida,Listed
Margaritifera marrianae,Alabama pearlshell,Mussel,Daphne,Listed
Fusconaia escambia,Narrow pigtoe,Mussel,Panama City,Listed
Hamiota australis,Southern sandshell,Mussel,Panama City,Listed
Lampsilis rafinesqueana,Neosho mucket,Mussel,Arkansas,Listed
Gonocalyx concolor,no common name,Vascular Plant,Caribbean,Listed
Eumops floridanus,Florida bonneted bat,Mammal,South Florida,Listed
Ptychobranchus jonesi,Southern kidneyshell,Mussel,Panama City,Listed
Lexingtonia dolabelloides,Slabside pearlymussel,Mussel,Cookeville,Listed
Fusconaia burkei,Tapered pigtoe,Mussel,Panama City,Listed
Strymon acis bartrami,Bartram's Hairstreak butterfly,Butterfly,South Florida,Listed
Helianthus verticillatus,Whorled Sunflower,Vascular Plant,Cookeville,Listed
Cordia rupicola,Varronia rulpicola,Vascular Plant,Caribbean,Listed
Consolea corallicola,Florida Semaphore Cactus,Vascular Plant,South Florida,Listed
Harrisia aboriginum,Aboriginal Prickly-apple,Vascular Plant,South Florida,Listed
Cambarellus diminutus,Least crayfish,Crayfish,Jackson,Petition Withdrawn
Cambarus scotti,Chattooga River crayfish,Crayfish,Jackson,Petition Withdrawn
Kinosternon baurii pop. 1,Striped Mud Turtle - Lower FL Keys,Reptile,South Florida,Petition Withdrawn
Cambarus unestami,Blackbarred crayfish,Crayfish,Jackson,Petition Withdrawn
Desmognathus aeneus,Seepage salamander,Amphibian,Jackson,Petition Withdrawn
Fallicambarus burrisi,[Unnamed] crayfish,Crayfish,Jackson,Petition Withdrawn
Procambarus lagniappe,Lagniappe crayfish,Crayfish,Jackson,Petition Withdrawn
Alosa aestivalis,Blueback herring,Fish,National Marine Fisheries Service,Not Warranted 12 Month Finding
Myotis leibii,Eastern Small-Footed bat,Mammal,Region 3,Not Warranted 12 Month Finding
Alosa pseudoharengus,Alewife,Fish,National Marine Fisheries Service,Not Warranted 12 Month Finding
Symphyotrichum georgianum,Georgia aster,Vascular Plant,Asheville,Not Warranted 12 Month Finding
Macrochelys temminckii,Alligator Snapping turtle,Reptile,Region 4,Petitioned
Clemmys guttata,Spotted turtle,Reptile,Region 4,Petitioned
Eumeces egregius insularis,Cedar Key Mole skink,Reptile,Jacksonville,Petitioned
Plethodon petraeus,Pigeon Mountain salamander,Amphibian,Athens,Petitioned
Pituophis melanoleucus mugitus,Florida pine snake,Reptile,Region 4,Petitioned
Aneides aeneus,Green salamander,Amphibian,Region 4,Petitioned
Heterodon simus,Southern Hognose snake,Reptile,Region 4,Petitioned
Lithobates (Rana) capito,Gopher frog,Amphibian,Region 4,Petitioned
Plethodon amplus,Blue Ridge Gray-cheeked salamander,Amphibian,Asheville,Petitioned
Plethodon caddoensis,Caddo Mountain salamander,Amphibian,Arkansas,Petitioned
Plethodon cheoah,Cheoah Bald salamander,Amphibian,Asheville,Petitioned
Plethodon fourchensis,Fourche Mountain salamander,Amphibian,Arkansas,Petitioned
Plethodon hubrichti,Peaks of Otter salamander,Amphibian,Region 5,Petitioned
Plethodon meridianus,South Mountain Gray-cheeked salamander,Amphibian,Asheville,Petitioned
Clemmys insculpta,Wood turtle,Reptile,Region 5,Petitioned
Sceloporus woodi,Florida Scrub lizard,Reptile,Jacksonville,Petitioned
Diadophis punctatus acricus,Key Ringneck snake,Reptile,South Florida,Petitioned
Stilosoma extenuatum,Short-tailed snake,Reptile,Jacksonville,Petitioned
Pseudacris illinoensis,Illinois Chorus frog,Amphibian,Region 5,Petitioned
Plethodon welleri,Weller's salamander,Amphibian,Asheville,Petitioned
Plethodon punctatus,Cow Knob salamander,Amphibian,Region 5,Petitioned
Narthecium americanum,Bog Asphodel,Vascular Plant,Region 5,Removed from Candidate List through CNOR
Solidago plumosa,Yadkin River Goldenrod,Vascular Plant,Asheville,Removed from Candidate List through CNOR
